route_id,direction,stop_name,latitude,longitude
962,HEEN,Zwarte Gat,50.976961,3.650014
962,HEEN,Zwarte Gat,50.976961,3.650014
962,HEEN,Speystraat,51.087123,3.650644
962,HEEN,Neerstraat,51.088487,3.637889
962,HEEN,Stuiver,51.149353,3.575978
962,HEEN,De Kroon,51.009376,3.6339
962,HEEN,Kerk,50.964478,3.461122
962,HEEN,Dorp,50.976937,3.472455
962,HEEN,Station,50.978833,3.474504
962,HEEN,Kasteel,50.942142,3.473879
962,HEEN,Kerk,50.935343,3.46392
962,HEEN,Ponteputstraat,50.93505,3.492557
962,HEEN,Gentstraat,50.980357,3.540659
962,HEEN,Aalterseweg,51.132611,3.416462
962,HEEN,Industrielaan,50.971846,3.519022
962,HEEN,Dosweg,50.989384,3.449581
962,HEEN,Kerk,50.979619,3.444747
962,HEEN,Station,50.981349,3.447197
962,HEEN,Moeistraat,51.005229,3.638465
962,HEEN,Nederbosstraat,50.971589,3.645982
962,HEEN,Nederbosstraat,50.971589,3.645982
962,HEEN,Brandstraat,51.013265,3.629433
962,HEEN,De Kroon,51.009078,3.63372
962,HEEN,Vijverhoflaan,51.016728,3.633011
962,HEEN,Palepelstraat,51.019958,3.6416
962,HEEN,Mortelputstraat,51.021478,3.646558
962,HEEN,Brakel,51.023869,3.623928
962,HEEN,Pontweg,50.934733,3.629718
962,HEEN,Bernstraat,50.939322,3.632605
962,HEEN,Wontergemwegel,50.988342,3.468967
962,HEEN,Heirbaan,50.957423,3.454298
962,HEEN,Goedstraat,50.978982,3.464129
962,HEEN,Pijpekerrestraat,51.018408,3.515204
962,HEEN,Mouterijdreef,50.982309,3.525393
962,HEEN,Pachthofstraat,50.963845,3.515589
962,HEEN,Stijn Streuvelslaan,50.968257,3.52445
962,HEEN,Energielaan,50.976241,3.518415
962,HEEN,Ten Bosse,50.990137,3.53535
962,HEEN,Toekomststraat,50.976662,3.544523
962,HEEN,Pennemanstraat,50.980156,3.574982
962,HEEN,Erfgoedlaan,50.985122,3.587637
962,HEEN,De Ceder,50.980168,3.5617
962,HEEN,Industriezone E3,50.959365,3.543977
962,HEEN,Peperstraat,50.993666,3.538254
962,HEEN,Bredestraat,50.959647,3.525706
962,HEEN,Voordestraat,51.071397,3.554498
962,HEEN,Prijkels,50.958861,3.549704
962,HEEN,Vierklaver,51.051724,3.581775
962,HEEN,Izegemstraat,50.994786,3.47964
962,HEEN,Markettestraat,51.019789,3.487698
962,HEEN,Venecoweg,50.955228,3.558465
962,HEEN,Venecoweg,50.955228,3.558465
962,HEEN,Kruiswege,51.013713,3.513393
962,HEEN,Kasteel,51.08645,3.63139
962,HEEN,Wielmakersveld,51.087405,3.612738
962,HEEN,Appensvoorde,51.098295,3.638281
962,HEEN,Beekstraat,51.111537,3.628317
962,HEEN,Lievetragel,51.139997,3.616425
962,HEEN,Arisdonkstraatje,51.157149,3.632557
962,HEEN,Zoutweg,51.167276,3.61614
962,HEEN,Kerk,51.025997,3.555029
962,HEEN,Hoogstraat,51.186997,3.892131
962,HEEN,Hoogstraat,51.186997,3.892131
962,HEEN,Molenpark,51.112377,3.5564
962,HEEN,Claeyspark,51.113226,3.562227
962,HEEN,Rohoek,51.10145,3.560728
962,HEEN,Schipdonkstraat,51.098839,3.548321
962,HEEN,Rostraat,51.098503,3.536146
962,HEEN,Sportcentrum,51.122627,3.561788
962,HEEN,Domein Camping,51.157474,3.892001
962,HEEN,Domein Camping,51.157474,3.892001
962,HEEN,Bekestraat,51.121805,3.588206
962,HEEN,Boterhoek,51.117493,3.637637
962,HEEN,Ganzevijver,51.087825,3.604966
962,HEEN,Berkenstraat,51.11254,3.522192
962,HEEN,Eikendreef,51.131452,3.561207
962,HEEN,Kerhoek,51.129466,3.584462
962,HEEN,Langeboeken,51.122747,3.600374
962,HEEN,Ocmw Warmhof,51.207788,3.456681
962,HEEN,Halewijnstraat,51.052549,3.617958
962,HEEN,Rustoord Ter Leenen,51.034408,3.542371
962,HEEN,Brezendedreef,51.230309,3.376702
962,HEEN,Tempeliersstraat,51.04355,3.566236
962,HEEN,Leenbeekstraat,50.915204,3.486248
962,HEEN,Industriezone,50.906444,3.478516
962,HEEN,Congostraat,51.051429,3.459311
962,HEEN,Kruisbulckstraat,51.016236,3.490834
962,HEEN,Meirelos,50.963928,3.528714
962,HEEN,Molenstraat,50.931353,3.46331
962,HEEN,Torenstraat,50.969401,3.50989
962,HEEN,Berkenlaan,50.908412,3.460487
962,HEEN,Wulvestraat,50.948072,3.580611
962,HEEN,Wulvestraat,50.948072,3.580611
962,HEEN,Bosstraat,51.018684,3.623168
962,HEEN,Carpool E17,50.915827,3.492106
