gemeente,route_id,route_name
4619,335,Melle - Flora - Zuid - Dampoort - Destelbergen
4619,401,Gent Zuid - Flora - Merelbeke - Bottelare - Baaigem
4619,436,Gent Sint-Pieters - Merelbeke Flora - Merelbeke Kwenenbos
4619,405,Gent Zuid - Merelbeke Kwenenbos (- Bottelare - Baaigem)
4619,55,Gent UZ - Gentbrugge Stelplaats
4619,24,Melle Leeuw - Gentbrugge Stelplaats
4619,408,Gent Zuid - Baaigem - Munkzwalm - Brakel
4619,27,Melle Leeuw - Zuid - Korenmarkt - Wondelgem - Evergem
4619,28,Melle Leeuw - Zuid - Korenmarkt - Wondelgem
4619,415,Gent Zuid - Merelbeke - Gavere - Oudenaarde
4619,224,Gent Zuid - Melle Vogelhoek - Melle Station - Oosterzele
4619,32,Zwijnaarde - Sint-Pieters - Zuid - Ledeberg - Stelplaats
4619,97,Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge
4619,961,Regio Gent (Oost)
4619,1,Muidebrug - Gent Korenmarkt - Gentbrugge Stelplaats
1378,834,Gent Sint-Pieters - Drongen - Leerne - Nevele-Lotenhulle
1378,962,Regio Gent (West)
1378,194,Arteveldestadion - Sint-Pietersstation - Blaarmeersen
1378,839,Snelbus Gent Sint-Pieters - Drongen Mirto
1378,715,Deinze - Nazareth - Zwijnaarde Klosse - Gent - Oostakker
1378,716,Zingem - Lozer - Nazareth - Zevergem - Gent Sint-Pieters
1378,205,Gent Sint-Pieters - Melle - Oordegem -Erpe Vijfhuizen -Aalst
1378,335,Melle - Flora - Zuid - Dampoort - Destelbergen
1378,345,(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren
1378,348,Gent Sint-Pieters - Destelbergen - Beervelde - Lokeren
1378,605,Gent Rabot - Lovendegem - Zomergem (- Ursel)
1378,349,Gent Sint-Pieters - Destelbergen - Kalken - Overmere-Zele
1378,224,Gent Zuid - Melle Vogelhoek - Melle Station - Oosterzele
1378,737,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Zelzate
1378,97,Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge
1378,481,Gent Sint-Pieters - Merelbeke - Gavere - Zottegem
1378,98,Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge
1378,738,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Overslag
1378,741,Gent Sint-Pieters - Oostakker Edugo - Zaffelare - Lokeren
1378,486,Gent Sint-Pieters - Merelbeke - Gavere - Meilegem
1378,103,Mariakerke - Korenmarkt - Dampoort - Snellaertplein
1378,491,Gent Sint-Pieters - Merelbeke - Lemberge - Herzele
1378,237,Gent Sint-Pieters - Heusden - Wetteren - Dendermonde
1378,238,Gent Sint-Pieters - Melle - Wetteren - Dendermonde
1378,111,Blaarmeersen - Korenmarkt - Dampoort - Gentbrugge
1378,495,Gent Sint-Pieters - Merelbeke - Herzele (-Geraardsbergen)
1378,239,Snelbus Gent Sint-Pieters - Melle - Kwatrecht Mariagaard
1378,500,Gent Sint-Pieters - Drongen - Eeklo - Maldegem - Brugge
1378,765,De Pinte - Gent - Lochristi - Wachtebeke
1378,127,Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries
1378,128,Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker
1378,1,Muidebrug - Gent Korenmarkt - Gentbrugge Stelplaats
1378,2,Flanders Expo - Sint-Pieters - Zuid - Ledeberg - Stelplaats
1378,3,Stelplaats - Ledeberg - Zuid - Sint-Pieters
1378,775,Deinze - St.-Martens-Latem - Gent - Lochristi - Beervelde
1378,907,Snelbus Gent Sint-Pieters - Mariakerke VISO-AHS
1378,908,Gent Sint-Pieters - Rooigem - Mariakerke VISO-AHS
1378,909,Gent Rabot - Mariakerke VISO-AHS
1378,785,Deinze - St.-Martens-Latem - Gent - Lochristi - Lokeren
1378,401,Gent Zuid - Flora - Merelbeke - Bottelare - Baaigem
1378,405,Gent Zuid - Merelbeke Kwenenbos (- Bottelare - Baaigem)
1378,24,Melle Leeuw - Gentbrugge Stelplaats
1378,408,Gent Zuid - Baaigem - Munkzwalm - Brakel
1378,27,Melle Leeuw - Zuid - Korenmarkt - Wondelgem - Evergem
1378,795,Oostakker - Desteldonk - Wachtebeke - Zelzate
1378,28,Melle Leeuw - Zuid - Korenmarkt - Wondelgem
1378,415,Gent Zuid - Merelbeke - Gavere - Oudenaarde
1378,32,Zwijnaarde - Sint-Pieters - Zuid - Ledeberg - Stelplaats
1378,161,Zuid - Macharius - Sint-Baafskouter
1378,35,Zwijnaarde - Sint-Pietersstation - Kouter - Zuid - Moscou
1378,681,Gent Rabot - Vinderhoute - Belzele - Evergem
1378,42,Gent UZ - Sint-Pieters - Rabot - Muide - Lange Steenstraat
1378,426,Gent Zuid - Merelbeke - Melle
1378,555,Gent Sint-Pieters - Langerbrugge - Ertvelde - Zelzate
1378,427,Oudenaarde - Zwijnaarde - Gent
1378,561,Gent Sint-Pieters - Evergem - Sleidinge - Watervliet
1378,562,Gent Sint-Pieters - Evergem - Sleidinge-Waarschoot-Eeklo
1378,563,Gent Zuid - Evergem - Ertvelde - Assenede - Boekhoute
1378,564,Gent Zuid - Evergem - Ertvelde - Oosteeklo - Bassevelde
1378,436,Gent Sint-Pieters - Merelbeke Flora - Merelbeke Kwenenbos
1378,565,Gent Zuid - Evergem - Doornzele
1378,566,Gent Zuid - Evergem - Sleidinge - Kaprijke - Eeklo
1378,55,Gent UZ - Gentbrugge Stelplaats
1378,57,Nieuw Gent - Zuid - Van Beverenplein - Wondelgem Station
1378,58,Nieuw Gent - Zuid - Meulestede
1378,961,Regio Gent (Oost)
1378,65,Zuid - Sint-Jacobs - Ham - P+R Muide
1378,833,Gent Sint-Pieters - Drongen - Leerne - Deinze
1378,705,Zwijnaarde Technologiepark - Gent - Oostakker
1378,45,Gent Lange Steenstraat - Muide - Rabot - Sint-Pieters - UZ
4608,738,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Overslag
4608,795,Oostakker - Desteldonk - Wachtebeke - Zelzate
4608,737,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Zelzate
4608,961,Regio Gent (Oost)
4622,834,Gent Sint-Pieters - Drongen - Leerne - Nevele-Lotenhulle
4622,962,Regio Gent (West)
4622,127,Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries
4622,833,Gent Sint-Pieters - Drongen - Leerne - Deinze
4614,98,Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge
4614,962,Regio Gent (West)
4614,103,Mariakerke - Korenmarkt - Dampoort - Snellaertplein
4614,681,Gent Rabot - Vinderhoute - Belzele - Evergem
4614,908,Gent Sint-Pieters - Rooigem - Mariakerke VISO-AHS
4614,605,Gent Rabot - Lovendegem - Zomergem (- Ursel)
4614,909,Gent Rabot - Mariakerke VISO-AHS
4614,961,Regio Gent (Oost)
4614,97,Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge
4620,345,(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren
4620,961,Regio Gent (Oost)
4623,2,Flanders Expo - Sint-Pieters - Zuid - Ledeberg - Stelplaats
4623,962,Regio Gent (West)
4623,775,Deinze - St.-Martens-Latem - Gent - Lochristi - Beervelde
4623,345,(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren
4623,765,De Pinte - Gent - Lochristi - Wachtebeke
4623,785,Deinze - St.-Martens-Latem - Gent - Lochristi - Lokeren
4623,961,Regio Gent (Oost)
1377,738,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Overslag
1377,795,Oostakker - Desteldonk - Wachtebeke - Zelzate
1377,961,Regio Gent (Oost)
1377,737,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Zelzate
4609,795,Oostakker - Desteldonk - Wachtebeke - Zelzate
4609,961,Regio Gent (Oost)
10340,418,Oudenaarde - Zingem - Ouwegem - Nazareth - Eke
10340,962,Regio Gent (West)
10340,968,Regio Vlaamse Ardennen
10340,715,Deinze - Nazareth - Zwijnaarde Klosse - Gent - Oostakker
10340,811,Deinze - Nazareth - Gavere - Hundelgem - Zottegem
10340,427,Oudenaarde - Zwijnaarde - Gent
10340,716,Zingem - Lozer - Nazareth - Zevergem - Gent Sint-Pieters
10340,812,Oudenaarde - Zingem - Ouwegem - Nazareth - Deinze
10340,813,Deinze - Nazareth - Eke - Semmerzake - Gavere - Zingem
10340,814,Deinze - Nazareth - Zevergem Pont-Noord
10340,345,(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren
10340,765,De Pinte - Gent - Lochristi - Wachtebeke
10340,961,Regio Gent (Oost)
4607,962,Regio Gent (West)
4607,551,Evergem - Sleidinge - Ertvelde - Zelzate
4607,555,Gent Sint-Pieters - Langerbrugge - Ertvelde - Zelzate
1172,962,Regio Gent (West)
1172,563,Gent Zuid - Evergem - Ertvelde - Assenede - Boekhoute
1172,564,Gent Zuid - Evergem - Ertvelde - Oosteeklo - Bassevelde
1172,551,Evergem - Sleidinge - Ertvelde - Zelzate
1172,952,Eeklo - Lembeke - Oosteeklo - Ertvelde - Stoepe - Zelzate
1172,555,Gent Sint-Pieters - Langerbrugge - Ertvelde - Zelzate
1717,962,Regio Gent (West)
1717,715,Deinze - Nazareth - Zwijnaarde Klosse - Gent - Oostakker
1717,427,Oudenaarde - Zwijnaarde - Gent
1717,716,Zingem - Lozer - Nazareth - Zevergem - Gent Sint-Pieters
1717,765,De Pinte - Gent - Lochristi - Wachtebeke
1717,814,Deinze - Nazareth - Zevergem Pont-Noord
1717,961,Regio Gent (Oost)
